Iteration,TotalDistance,MaxTime,TotalWasteCollected,SumofNodesVisited,AvgScore,Time
1,14583.232406938669,418.11009575454614,2398,231,0.37636518223036886,0.39099788665771484
2,14583.232406938669,418.11009575454614,2398,231,0.37636518223036886,0.23099660873413086
3,14628.391525866313,436.3570536408115,2465,237,0.36962836849770087,0.29303646087646484
4,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.24697184562683105
5,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.2210242748260498
6,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.20999479293823242
7,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.2629568576812744
8,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.2239980697631836
9,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.2329726219177246
10,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.2100377082824707
11,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.2829606533050537
12,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.27999353408813477
13,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.2649993896484375
14,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.21904540061950684
15,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.21699094772338867
16,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.2149975299835205
17,15127.918012815326,465.853963803452,2410,225,0.351882392669287,0.21001815795898438
18,14482.325924569157,470.9496485502734,2400,240,0.34167594143762586,0.22498822212219238
19,14482.325924569157,470.9496485502734,2400,240,0.34167594143762586,0.21699762344360352
20,14482.325924569157,470.9496485502734,2400,240,0.34167594143762586,0.21798324584960938
21,14482.325924569157,470.9496485502734,2400,240,0.34167594143762586,0.2040271759033203
22,14482.325924569157,470.9496485502734,2400,240,0.34167594143762586,0.2619640827178955
23,14482.325924569157,470.9496485502734,2400,240,0.34167594143762586,0.2980349063873291
24,14482.325924569157,470.9496485502734,2400,240,0.34167594143762586,0.31699466705322266
25,14482.325924569157,470.9496485502734,2400,240,0.34167594143762586,0.22400808334350586
26,14482.325924569157,470.9496485502734,2400,240,0.34167594143762586,0.2949838638305664
27,14482.325924569157,470.9496485502734,2400,240,0.34167594143762586,0.20899629592895508
28,14482.325924569157,470.9496485502734,2400,240,0.34167594143762586,0.21500182151794434
29,14482.325924569157,470.9496485502734,2400,240,0.34167594143762586,0.29595494270324707
30,14805.91812854987,465.20469863988353,2409,231,0.3236825824709673,0.210982084274292
31,14805.91812854987,465.20469863988353,2409,231,0.3236825824709673,0.27003979682922363
32,14805.91812854987,465.20469863988353,2409,231,0.3236825824709673,0.44098901748657227
33,14805.91812854987,465.20469863988353,2409,231,0.3236825824709673,0.25299644470214844
34,14805.91812854987,465.20469863988353,2409,231,0.3236825824709673,0.23700785636901855
35,14805.91812854987,465.20469863988353,2409,231,0.3236825824709673,0.21898508071899414
36,14805.91812854987,465.20469863988353,2409,231,0.3236825824709673,0.27900052070617676
37,14805.91812854987,465.20469863988353,2409,231,0.3236825824709673,0.22800278663635254
38,14805.91812854987,465.20469863988353,2409,231,0.3236825824709673,0.24302458763122559
39,14805.91812854987,465.20469863988353,2409,231,0.3236825824709673,0.23101210594177246
40,14805.91812854987,465.20469863988353,2409,231,0.3236825824709673,0.21099328994750977
41,14805.91812854987,465.20469863988353,2409,231,0.3236825824709673,0.21398687362670898
